date,cams_no2_umol_m2
2019-09-23,48.565205
2019-09-24,53.994156
2019-09-25,54.574745
2019-09-26,46.93187
2019-09-27,47.745274
2019-09-28,54.77065
2019-09-29,47.22233
2019-09-30,48.83135
2019-10-01,52.507523
2019-10-02,51.018627
2019-10-03,59.20687
2019-10-04,65.47656
2019-10-05,60.261204
2019-10-06,51.977722
2019-10-07,48.58455
2019-10-08,45.104137
2019-10-09,40.9625
2019-10-10,44.521984
2019-10-11,45.874695
2019-10-12,44.598392
2019-10-13,49.857536
2019-10-14,53.072235
2019-10-15,56.723614
2019-10-16,59.89751
2019-10-17,51.560562
2019-10-18,55.717827
2019-10-19,61.0033
2019-10-20,52.728367
2019-10-21,54.738503
2019-10-22,54.087807
2019-10-23,47.7015
2019-10-24,44.37691
2019-10-25,43.544605
2019-10-26,47.080524
2019-10-27,45.479412
2019-10-28,43.99416
2019-10-29,61.291313
2019-10-30,47.936375
2019-10-31,48.1878
2019-11-01,55.97268
2019-11-02,51.80789
2019-11-03,51.63428
2019-11-04,66.62128
2019-11-05,61.219246
2019-11-06,65.19914
2019-11-07,55.174496
2019-11-08,73.61716
2019-11-09,59.437687
2019-11-10,60.31011
2019-11-11,55.694572
2019-11-12,48.721485
2019-11-13,48.087578
2019-11-14,46.469517
2019-11-15,45.27362
2019-11-16,42.186813
2019-11-17,43.190918
2019-11-18,44.86882
2019-11-19,74.3596
2019-11-20,74.04066
2019-11-21,90.88299
2019-11-22,72.37968
2019-11-23,63.085186
2019-11-24,50.499073
2019-11-25,56.5121
2019-11-26,73.62531
2019-11-27,66.00367
2019-11-28,54.798298
2019-11-29,48.002243
2019-11-30,49.286816
2019-12-01,60.592636
2019-12-02,63.32851
2019-12-03,56.87296
2019-12-04,57.668507
2019-12-05,59.28397
2019-12-06,51.279293
2019-12-07,53.606007
2019-12-08,76.1672
2019-12-09,50.063034
2019-12-10,57.053688
2019-12-11,60.156246
2019-12-12,55.53375
2019-12-13,50.667004
2019-12-14,50.922226
2019-12-15,64.299545
2019-12-16,49.390324
2019-12-17,53.286724
2019-12-18,69.88723
2019-12-19,69.75737
2019-12-20,51.193016
2019-12-21,62.067703
2019-12-22,83.04547
2019-12-23,54.384876
2019-12-24,59.480762
2019-12-25,43.977085
2019-12-26,54.578644
2019-12-27,59.461765
2019-12-28,55.34556
2019-12-29,55.373714
2019-12-30,54.809494
2019-12-31,50.7865
2020-01-01,48.025757
2020-01-02,61.401493
2020-01-03,61.868793
2020-01-04,54.00808
2020-01-05,51.87421
2020-01-06,55.801086
2020-01-07,51.34678
2020-01-08,54.182117
2020-01-09,56.90029
2020-01-10,50.738632
2020-01-11,50.420086
2020-01-12,63.928417
2020-01-13,55.32904
2020-01-14,58.44848
2020-01-15,80.416145
2020-01-16,76.92287
2020-01-17,58.770847
2020-01-18,48.353962
2020-01-19,49.41829
2020-01-20,49.131405
2020-01-21,46.306107
2020-01-22,45.81809
2020-01-23,59.772182
2020-01-24,41.607647
2020-01-25,53.992054
2020-01-26,47.288692
2020-01-27,52.920097
2020-01-28,49.1543
2020-01-29,56.335064
2020-01-30,59.49303
2020-01-31,64.43792
2020-02-01,51.55311
2020-02-02,45.520332
2020-02-03,53.75259
2020-02-04,60.456993
2020-02-05,44.876904
2020-02-06,38.591526
2020-02-07,58.855064
2020-02-08,66.28082
2020-02-09,48.636024
2020-02-10,60.478924
2020-02-11,49.035713
2020-02-12,53.639988
2020-02-13,72.00466
2020-02-14,42.43762
2020-02-15,71.48247
2020-02-16,63.20805
2020-02-17,50.584717
2020-02-18,48.47018
2020-02-19,49.494923
2020-02-20,51.50043
2020-02-21,50.08938
2020-02-22,55.79128
2020-02-23,45.54334
2020-02-24,40.02865
2020-02-25,36.365597
2020-02-26,42.619236
2020-02-27,39.424324
2020-02-28,41.44498
2020-02-29,54.733776
2020-03-01,62.862286
2020-03-02,55.561993
2020-03-03,54.865364
2020-03-04,53.85463
2020-03-05,45.97159
2020-03-06,61.07642
2020-03-07,44.04575
2020-03-08,36.313133
2020-03-09,36.23589
2020-03-10,40.523582
2020-03-11,39.379898
2020-03-12,39.239834
2020-03-13,46.85353
2020-03-14,48.866833
2020-03-15,43.19595
2020-03-16,65.65932
2020-03-17,63.81377
2020-03-18,74.467155
2020-03-19,46.14536
2020-03-20,45.716995
2020-03-21,44.533806
2020-03-22,45.8536
2020-03-23,40.540176
2020-03-24,41.156662
2020-03-25,45.66554
2020-03-26,48.49592
2020-03-27,46.580357
2020-03-28,49.16162
2020-03-29,56.94671
2020-03-30,57.775917
2020-03-31,52.285435
2020-04-01,54.796032
2020-04-02,53.126266
2020-04-03,52.963364
2020-04-04,51.574886
2020-04-05,46.104065
2020-04-06,49.360405
2020-04-07,48.926414
2020-04-08,41.800236
2020-04-09,48.421093
2020-04-10,48.515285
2020-04-11,43.249615
2020-04-12,36.263622
2020-04-13,39.3585
2020-04-14,45.63505
2020-04-15,45.684772
2020-04-16,52.951694
2020-04-17,47.230484
2020-04-18,48.63442
2020-04-19,53.18662
2020-04-20,52.110893
2020-04-21,47.64276
2020-04-22,50.100956
2020-04-23,51.87045
2020-04-24,47.75768
2020-04-25,55.045322
2020-04-26,48.910015
2020-04-27,44.06409
2020-04-28,48.606785
2020-04-29,50.1409
2020-04-30,49.662643
2020-05-01,49.62683
2020-05-02,51.23802
2020-05-03,52.31151
2020-05-04,47.31119
2020-05-05,43.12962
2020-05-06,60.975277
2020-05-07,50.665314
2020-05-08,47.358402
2020-05-09,50.089684
2020-05-10,45.818798
2020-05-11,38.57839
2020-05-12,42.26021
2020-05-13,45.722866
2020-05-14,39.89754
2020-05-15,36.328476
2020-05-16,34.735153
2020-05-17,34.957382
2020-05-18,37.94509
2020-05-19,39.479683
2020-05-20,41.22855
2020-05-21,43.07597
2020-05-22,42.58818
2020-05-23,50.915478
2020-05-24,56.455135
2020-05-25,51.625904
2020-05-26,44.141804
2020-05-27,42.049168
2020-05-28,46.78335
2020-05-29,50.90104
2020-05-30,53.46586
2020-05-31,49.795254
2020-06-01,41.477673
2020-06-02,41.15568
2020-06-03,45.075207
2020-06-04,42.377758
2020-06-05,43.115738
2020-06-06,43.223495
2020-06-07,42.71136
2020-06-08,41.6478
2020-06-09,42.92819
2020-06-10,43.538998
2020-06-11,42.036186
2020-06-12,42.15452
2020-06-13,42.805576
2020-06-14,40.535282
2020-06-15,39.644833
2020-06-16,40.043476
2020-06-17,45.35298
2020-06-18,48.859818
2020-06-19,45.116005
2020-06-20,42.90976
2020-06-21,52.604588
2020-06-22,51.79584
2020-06-23,49.30846
2020-06-24,55.14372
2020-06-25,48.182995
2020-06-26,45.446262
2020-06-27,47.206585
2020-06-28,44.348454
2020-06-29,46.290546
2020-06-30,44.72786
2020-07-01,38.49474
2020-07-02,37.87573
2020-07-03,42.633152
2020-07-04,46.017105
2020-07-05,42.80271
2020-07-06,42.98886
2020-07-07,50.51687
2020-07-08,51.178146
2020-07-09,46.255928
2020-07-10,46.245747
2020-07-11,46.837578
2020-07-12,49.997913
2020-07-13,49.80814
2020-07-14,45.24287
2020-07-15,47.716335
2020-07-16,47.910576
2020-07-17,50.165894
2020-07-18,53.102737
2020-07-19,55.195095
2020-07-20,57.532692
2020-07-21,48.14236
2020-07-22,43.995872
2020-07-23,46.85467
2020-07-24,55.359722
2020-07-25,49.995693
2020-07-26,53.376
2020-07-27,49.963383
2020-07-28,51.545177
2020-07-29,48.63392
2020-07-30,43.763897
2020-07-31,46.0325
2020-08-01,53.529804
2020-08-02,51.74083
2020-08-03,44.171597
2020-08-04,47.042515
2020-08-05,44.224392
2020-08-06,40.85198
2020-08-07,41.142044
2020-08-08,48.254047
2020-08-09,52.174606
2020-08-10,56.158657
2020-08-11,49.869534
2020-08-12,49.35392
2020-08-13,51.649746
2020-08-14,50.713474
2020-08-15,46.258907
2020-08-16,48.39689
2020-08-17,45.95698
2020-08-18,50.384354
2020-08-19,51.81109
2020-08-20,53.350025
2020-08-21,46.322926
2020-08-22,44.197968
2020-08-23,42.377556
2020-08-24,42.255966
2020-08-25,42.663223
2020-08-26,49.573635
2020-08-27,48.368256
2020-08-28,46.36416
2020-08-29,43.72225
2020-08-30,42.985245
2020-08-31,44.104095
2020-09-01,48.193226
2020-09-02,53.516426
2020-09-03,46.6688
2020-09-04,48.310246
2020-09-05,51.57294
2020-09-06,51.84113
2020-09-07,55.765762
2020-09-08,47.727543
2020-09-09,45.189484
2020-09-10,42.44051
2020-09-11,48.44866
2020-09-12,48.807037
2020-09-13,50.21654
2020-09-14,42.408283
2020-09-15,45.81391
2020-09-16,46.825653
2020-09-17,49.391068
2020-09-18,53.349724
2020-09-19,41.137947
2020-09-20,46.588966
2020-09-21,48.815346
2020-09-22,51.36933
2020-09-23,50.03371
2020-09-24,53.85277
2020-09-25,59.04864
2020-09-26,58.622513
2020-09-27,53.884274
2020-09-28,44.712543
2020-09-29,49.27362
2020-09-30,53.53167
2020-10-01,53.244656
2020-10-02,55.38282
2020-10-03,48.916924
2020-10-04,47.288746
2020-10-05,50.80477
2020-10-06,51.57494
2020-10-07,49.468494
2020-10-08,47.853424
2020-10-09,47.951225
2020-10-10,45.37362
2020-10-11,48.840816
2020-10-12,53.24244
2020-10-13,51.199066
2020-10-14,50.415913
2020-10-15,44.651035
2020-10-16,46.58004
2020-10-17,48.21839
2020-10-18,49.893356
2020-10-19,58.02975
2020-10-20,58.280132
2020-10-21,48.361553
2020-10-22,43.0303
2020-10-23,44.58711
2020-10-24,45.316483
2020-10-25,45.742863
2020-10-26,47.351715
2020-10-27,49.885815
2020-10-28,45.373043
2020-10-29,49.24685
2020-10-30,41.959923
2020-10-31,43.34424
2020-11-01,43.98264
2020-11-02,46.853905
2020-11-03,50.37199
2020-11-04,52.012154
2020-11-05,50.67008
2020-11-06,63.477093
2020-11-07,47.818043
2020-11-08,49.110703
2020-11-09,48.117558
2020-11-10,50.752052
2020-11-11,42.967045
2020-11-12,55.804493
2020-11-13,47.313446
2020-11-14,57.25897
2020-11-15,82.95119
2020-11-16,64.34119
2020-11-17,52.81592
2020-11-18,58.948116
2020-11-19,69.84342
2020-11-20,75.046
2020-11-21,58.93254
2020-11-22,51.153294
2020-11-23,42.153416
2020-11-24,49.622505
2020-11-25,64.59228
2020-11-26,49.47041
2020-11-27,46.17612
2020-11-28,52.834846
2020-11-29,58.99598
2020-11-30,56.66191
2020-12-01,60.21113
2020-12-02,53.664143
2020-12-03,48.973194
2020-12-04,46.303116
2020-12-05,46.18381
2020-12-06,53.033108
2020-12-07,49.023384
2020-12-08,53.604107
2020-12-09,60.157368
2020-12-10,47.159702
2020-12-11,61.25201
2020-12-12,48.039814
2020-12-13,50.190674
2020-12-14,56.82576
